loan_id,name,phone_number,age,income,credit_score,education,loan_amount,loan_status
LID100000,User0,9759106472,59,176498,788,Graduate,508818,Approved
LID100001,User1,9141532727,49,37772,387,Not Graduate,932693,Approved
LID100002,User2,9844671784,35,123754,493,Graduate,665036,Approved
LID100003,User3,9172226820,63,23712,403,Not Graduate,304265,Approved
LID100004,User4,9756912114,28,152439,395,Not Graduate,569493,Approved
LID100005,User5,9882013097,41,135142,722,Graduate,214404,Approved
LID100006,User6,9113009182,59,111736,497,Not Graduate,960913,Approved
LID100007,User7,9844794399,39,71924,300,Graduate,703817,Rejected
LID100008,User8,9771568888,43,23726,706,Not Graduate,534353,Approved
LID100009,User9,9809856945,31,109152,677,Graduate,314395,Approved
LID100010,User10,9225130829,31,47723,466,Not Graduate,935540,Rejected
LID100011,User11,9893961245,44,146969,808,Not Graduate,732387,Approved
LID100012,User12,9103290524,56,120494,612,Graduate,147382,Approved
LID100013,User13,9663328685,60,160180,892,Not Graduate,529767,Approved
LID100014,User14,9545807473,44,55643,717,Graduate,59583,Approved
LID100015,User15,9114303558,23,182396,776,Graduate,624675,Approved
LID100016,User16,9561617895,42,123896,372,Graduate,335248,Approved
LID100017,User17,9842462275,22,159999,440,Graduate,586512,Approved
LID100018,User18,9713824856,44,113680,881,Graduate,897056,Approved
LID100019,User19,9573329152,64,116546,561,Not Graduate,499274,Approved
LID100020,User20,9166924893,50,173515,639,Not Graduate,940752,Approved
LID100021,User21,9445399877,58,99973,607,Not Graduate,277444,Rejected
LID100022,User22,9191000879,22,83449,544,Graduate,996803,Rejected
LID100023,User23,9592502448,41,129834,814,Not Graduate,390716,Rejected
LID100024,User24,9249493249,53,45537,636,Not Graduate,921901,Approved
LID100025,User25,9338123612,32,97576,874,Not Graduate,914360,Approved
LID100026,User26,9788488149,42,127522,860,Not Graduate,516690,Approved
LID100027,User27,9246223581,64,42612,375,Not Graduate,316285,Approved
LID100028,User28,9957438471,45,26471,474,Graduate,728710,Approved
LID100029,User29,9692967033,47,186703,408,Graduate,518298,Approved
LID100030,User30,9110665370,62,51348,482,Not Graduate,907303,Approved
LID100031,User31,9416955865,48,21177,491,Graduate,186149,Approved
LID100032,User32,9414147003,36,155832,364,Graduate,620303,Rejected
LID100033,User33,9973795278,35,52779,773,Not Graduate,221929,Approved
LID100034,User34,9140563099,64,41636,399,Not Graduate,806556,Approved
LID100035,User35,9762347633,23,101889,843,Graduate,240912,Approved
LID100036,User36,9309524651,57,73551,427,Not Graduate,896334,Approved
LID100037,User37,9356330637,27,162628,751,Graduate,55577,Approved
LID100038,User38,9162834284,41,178670,668,Graduate,856434,Approved
LID100039,User39,9489245051,29,162635,342,Not Graduate,100711,Approved
LID100040,User40,9879793866,59,66819,718,Graduate,613739,Rejected
LID100041,User41,9382536835,38,93770,787,Graduate,543027,Rejected
LID100042,User42,9421966979,24,178038,377,Graduate,754463,Rejected
LID100043,User43,9196297144,45,178059,569,Not Graduate,471863,Rejected
LID100044,User44,9647291628,34,98714,614,Not Graduate,609119,Approved
LID100045,User45,9863395754,29,44596,467,Not Graduate,299402,Approved
LID100046,User46,9229499511,46,184246,638,Not Graduate,805664,Approved
LID100047,User47,9503125257,22,84106,492,Graduate,932930,Approved
LID100048,User48,9719397294,40,79182,752,Not Graduate,965381,Approved
LID100049,User49,9628896039,48,107163,582,Not Graduate,294942,Rejected
LID100050,User50,9555855285,27,59310,635,Not Graduate,145119,Approved
LID100051,User51,9629236329,64,76088,689,Not Graduate,903262,Approved
LID100052,User52,9969066673,28,148803,824,Graduate,392776,Approved
LID100053,User53,9300669498,55,159978,539,Graduate,873265,Rejected
LID100054,User54,9339955587,34,56914,782,Graduate,817754,Approved
LID100055,User55,9538343543,37,130350,891,Not Graduate,798224,Rejected
LID100056,User56,9178267740,56,65379,854,Not Graduate,860830,Rejected
LID100057,User57,9925565628,60,188722,757,Graduate,635842,Rejected
LID100058,User58,9818344871,24,197953,388,Not Graduate,100755,Rejected
LID100059,User59,9482995984,22,66413,394,Not Graduate,985210,Rejected
LID100060,User60,9418903668,26,157084,751,Graduate,203412,Approved
LID100061,User61,9699489108,62,27151,727,Graduate,901426,Approved
LID100062,User62,9674770987,24,77716,450,Not Graduate,638172,Approved
LID100063,User63,9212326489,49,113747,813,Not Graduate,920793,Approved
LID100064,User64,9861904924,38,187450,675,Not Graduate,591770,Rejected
LID100065,User65,9508370865,46,193724,321,Graduate,104225,Approved
LID100066,User66,9452829238,64,164539,612,Graduate,239921,Rejected
LID100067,User67,9914433935,54,182082,818,Graduate,649142,Approved
LID100068,User68,9573242415,30,141999,505,Graduate,615544,Approved
LID100069,User69,9615168509,56,134793,674,Not Graduate,290617,Rejected
LID100070,User70,9283816819,34,128177,750,Graduate,158721,Approved
LID100071,User71,9294121791,51,32289,894,Graduate,655398,Approved
LID100072,User72,9553126753,35,196048,478,Not Graduate,163606,Approved
LID100073,User73,9484126079,28,194668,509,Not Graduate,588938,Approved
LID100074,User74,9528161892,34,174243,799,Not Graduate,227190,Approved
LID100075,User75,9551881547,43,106365,763,Graduate,78930,Approved
LID100076,User76,9509564486,60,134014,423,Not Graduate,791067,Approved
LID100077,User77,9521112664,41,195211,412,Not Graduate,310102,Rejected
LID100078,User78,9836892139,36,199785,311,Graduate,412544,Rejected
LID100079,User79,9769396033,38,180806,425,Graduate,323945,Approved
LID100080,User80,9963760672,44,92588,864,Not Graduate,625648,Approved
LID100081,User81,9212679135,46,83646,630,Graduate,924340,Rejected
LID100082,User82,9528628117,45,23654,582,Not Graduate,197631,Approved
LID100083,User83,9975736859,61,38743,439,Not Graduate,344478,Approved
LID100084,User84,9334064409,49,68368,700,Graduate,286545,Approved
LID100085,User85,9656076512,35,157513,396,Not Graduate,63288,Rejected
LID100086,User86,9234180499,21,139735,816,Graduate,727758,Approved
LID100087,User87,9852217192,45,175683,868,Graduate,257302,Approved
LID100088,User88,9402523717,27,139891,368,Graduate,848623,Approved
LID100089,User89,9205813167,29,127971,417,Not Graduate,330195,Approved
LID100090,User90,9557810989,44,32149,358,Graduate,111715,Approved
LID100091,User91,9910162015,21,120102,332,Graduate,60737,Approved
LID100092,User92,9618613356,64,79189,617,Not Graduate,639428,Rejected
LID100093,User93,9478538720,28,172747,349,Not Graduate,730611,Rejected
LID100094,User94,9138139010,44,91031,788,Not Graduate,232047,Approved
LID100095,User95,9311824771,31,62668,318,Not Graduate,317291,Approved
LID100096,User96,9519276066,37,164745,496,Graduate,624796,Approved
LID100097,User97,9431267268,28,108204,749,Graduate,364368,Rejected
LID100098,User98,9992593758,55,174741,858,Graduate,331787,Rejected
LID100099,User99,9646250971,55,185140,751,Not Graduate,351111,Approved
LID100100,User100,9910729245,53,160507,588,Not Graduate,153535,Approved
LID100101,User101,9278809590,25,57384,440,Graduate,877165,Rejected
LID100102,User102,9140723510,62,101929,383,Not Graduate,346952,Approved
LID100103,User103,9120481147,59,147959,690,Not Graduate,562438,Approved
LID100104,User104,9899100431,61,96153,890,Graduate,772648,Approved
LID100105,User105,9717947683,48,95388,514,Graduate,633247,Approved
LID100106,User106,9530349545,27,51401,825,Not Graduate,445065,Approved
LID100107,User107,9840585092,29,139503,514,Not Graduate,380322,Rejected
LID100108,User108,9441006280,28,147834,702,Not Graduate,772496,Approved
LID100109,User109,9545250888,32,54084,427,Graduate,241812,Approved
LID100110,User110,9404388586,54,130641,776,Graduate,162255,Approved
LID100111,User111,9262991108,53,125111,703,Graduate,660610,Approved
LID100112,User112,9820669420,43,187523,328,Graduate,880997,Approved
LID100113,User113,9281389929,44,158299,637,Graduate,987687,Approved
LID100114,User114,9820318716,57,182982,660,Not Graduate,558522,Rejected
LID100115,User115,9169346749,55,56041,868,Not Graduate,51132,Approved
LID100116,User116,9574967855,64,108920,691,Not Graduate,743619,Approved
LID100117,User117,9186725613,60,85681,517,Graduate,801972,Approved
LID100118,User118,9524995229,42,101571,873,Graduate,900100,Approved
LID100119,User119,9496372044,47,147556,501,Graduate,309427,Rejected
LID100120,User120,9625643886,55,46160,316,Not Graduate,481779,Approved
LID100121,User121,9287907145,21,37633,621,Graduate,535443,Rejected
LID100122,User122,9732167392,55,37014,817,Graduate,683123,Approved
LID100123,User123,9259072399,57,100532,869,Not Graduate,192003,Rejected
LID100124,User124,9577282210,34,69104,624,Graduate,832516,Approved
LID100125,User125,9636952613,23,192693,711,Not Graduate,647457,Approved
LID100126,User126,9162932622,21,97231,617,Graduate,310529,Approved
